Text,Text_English,Klasifikasi_NLP,Klasifikasi_NaiveBayes
nder dulu kuliah taun full pp tidak pernah ngekos masa kepotong covid sekarang  kerja gagitu jauh kampus tetap  full pp tiap hari memang  capai  lama2 biasa kokk,"i used to go to college in full pp, i never rented a boarding house. i was cut off by covid, now i work not far away.",Positif,Positif
rektor unes martono mengatakan langkah sudah  sangat  tepat pasalnya distrupsi digital bergerak begitu cepat menuntut pemerintah untuk  menyiapkan industri digital matang semenjak covid-19 kegiatan masy dilakukan virtual,the rector of unes martono said the step was very appropriate because digital disruption was moving so fast demanding the government to prepare a mature digital industry since covid-1' community activities were carried out virtu,Positif,Positif
/wal pas kena  covid tahun lalu saya khilngn indera penciuman setelah beberapa bulan sembuh baru bisa mencium bau bauan whini deh  stahun lebih penciumanku kd jelas parfum apapun hidungku sama aromanya kaya kd enak keitu obatnya apa lh harus  dokter cont,"/ even though when i got covid last year i lost my sense of smell, after a few months of recovery, i could smell whini for more than a year, my smell was clear, no matter what perfume my nose smells the same, it smells like it doesn't taste good, what's the medicine, what should the doctor do?",Positif,Negatif
kasus harian corona covid-19 indonesia bertambah hari terdapat kasus positif corona baru indonesia,daily cases of corona covid-1' in indonesia are increasing day by day there are positive cases of new corona in indonesia,Positif,Positif
frontliner sudah  complete dose + booster kena covid bulan demam hari je effect sekarang  mudah penat ibarat cukup  nafas dulu jog boleh kamu  sekarang  kamu  je skipping boleh minit xde sekarang  minit pon mengah,"frontliner has completed the dose + booster, it's a covid, it's a month of fever, the effect is now, it's easy to get tired, it's like having enough breath.",Positif,Positif
lah kamu  liat perspektif mana masalah mana kanjuruhan langsung turunin fifa menuntaskan permasalahan sepakbola indonesia covid langsung perketat ppkm pakai masker penyediaan vaksin rumah sakit gratis asrama buat positif tidak  jaman dulu coba sebut,"so, you see, which perspective is the problem, where is the suggestion to immediately go down fifa to solve the problem of indonesian football, covid immediately tighten ppkm, wear masks, provide free hospital vaccines, dormitories for positives, not in the past, try to say",Negatif,Positif
gg betul demam ini  kena covid tak seteruk ini ,"it's true that this fever has covid, it's not as bad as thi",Negatif,Negatif
haya maswali kichwani mwa hao wanao uliza ndo yanayo sababisha kila kukicha maafa mapya yanatokea mara covid-19 mara ebola wengine kutafuta vita nguvu silaha maangamizi na ajenda nyingine wanazo ziifanya kwa siri zaidi dunia ilikuwepo na maisha yrs past itakuwepo,these are the questions in the heads of those who ask what causes new disasters every time covid-1' times ebola others seek war power weapons annihilation and other agendas they have doing it more secretly the world existed and life yrs past will exist,Negatif,Negatif
covid sudah  padet sangat  katanya mol tambah post covid makin overcrowd sekarang harusnya penutupan jalan masuk itaewon kalau  sudah  liat potensi bakal kejadian begini sedih sangat  bisa dicegah teledor begini,covid is really overcrowded he said mole adding post covid is getting overcrowd now it should be closing the entrance to itaewon if you see the potential for something like this to happen sadly this can be prevented carelessly like thi,Negatif,Positif
nurse cakap covid sekarang tak bahaya sangat  sudah  dalam  sehari dua sudah  baik sekarang bahaya influenza nk baik dekat  seminggu macam  itu  huhu,"the nurse said that covid is not very dangerous now, it's been good in a day or two, now it's dangerous for influenza, it's going to be good in about a week, huh?",Positif,Positif
kamu  tahu  tidak  bisa naik begitu kurs rupiah sekarang  kamu  tahu  tidak  apa diperbuat amerika krisis pas covid kemarin mereka perbanyak cetak uangnya dibagikn rakyatnya efeknya selurhh dunia,you know you can't go up as soon as the rupiah exchange rate now you know it's okay what america did during the crisis during covid yesterday they printed more money to share it with the people the effect was all over the world,Positif,Positif
positif covid ri bertambah kasus orang sembuh,"covid-1' positive, cases of people recov",Positif,Netral
update covid-19 per oktober kasus baru turun kasus via,update covid-1' as of october new cases drop cases via,Positif,Netral
polisi panggil wisatawan covid-19 keluyuran kota malang,police summon covid-1' tourists to wander malang c,Netral,Netral
benar  deh setelah vaksin covid denyut jantungku berdebar terasa indahnya dunia kita punya akulah mataharimu kaulah kekasihku kita kan bersama selamanya,"that's right, after the covid vaccine, my heart beats, i feel the beauty of the world, we have me, i am your sun, you are my lover, we will be together forev",Positif,Positif
tekak sakit gilaa tidur je terjaga tolong la jangan  covid lagi ,my throat hurts like crazy. i'm just awake. please don't covid again,Negatif,Negatif
positif covid ri bertambah kasus orangsembuh,covid positive ri increases cases of people recov,Positif,Netral
tidak  ngerti penyanyi indo abis covid memang  mark up harga apa gimana mahal mahal sekali  anj modelan penyanyi terkenal single saja  lumayan kaget harganya,"i don't understand indo singers after covid, what price mark up is really expensive, it's very expensive, just a single model, a famous singer is quite surprised at the pric",Negatif,Negatif
total kasus covid-19 indonesia mencapai kasus,indonesia's total covid-1' cases reached cas,Netral,Netral
bila time saya panic saya pandai benak at the same time show to november harey bukan hari ini  sudah  la covid sedar diri niat nk keluar rumah  macam  bodo perangai deh  la test masih double line,"when i panicked, i was smart at the same time show to november, harey, isn't it today?",Positif,Positif
nasib baik tadbir bulan je kalau  ditakdirkn ari itu  tadbir time kemelut covid tengah  memuncak entah  apa kita  malaysia,"it's good luck to govern the month if it is destined to be the governance at the time of the peak of the covid crisis, i don't know what we are in malaysia",Positif,Positif
wala na atang covid haha,no more covid haha,Negatif,Netral
kejadian jahiliyah acara crowd sedikit  tiba2 korban berjatuhan puluhan ratusan apa jgn2 covid memang paru2 jantung melemah jadinya  sesak sedikit  langsung berguguran manusia2 lebih egois jatuh bukannya ditolong malah diinjek2,"the incident of ignorance, the crowd event, a little, suddenly, tens of hundreds of victims, don't worry, covid, indeed, the lungs, the heart weakens, it becomes a little congested, it immediately falls down, humans are more selfish, they fall instead of being helped, they are even trampl",Negatif,Negatif
breaking news update covid-19 per oktober kasus baru turun kasus,breaking news update covid-1' as of october new cases dropped cas,Positif,Netral
tunggu nanti  mendut saya ikot taon daptar tapi  tertolak prioritas ut taon lalu terpendinh karena  covid,"wait, i'm going to join the list year, but i was rejected as a priority last year, because of covid.",Netral,Negatif
ant man jahat anaknya scott diganti pemeranya padahal diambil end game harusnya orangnya tetap ketuaan,"the evil ant man scott's son was replaced by the cast even though the end game was taken, the person should still be old",Negatif,Negatif
kan sis setakat kena covid ini  selalu kena demam teruk sakit badan itu  takk tahan saya paling lama saya demam -4 hari jelah,"right, sis, as far as i've had covid, i've always had a bad fever. the body aches can't stand me. i've had a fever for the longest time - 4 day",Negatif,Positif
yaallah lihatnya saja  sudah  sesak nafas  dikarenakan tahun  ditutup pasca covid disaat sudah  dibuka hiburan lagi  jadi  membludak ramenya gegara perayaan halloween pengunjung jadi  arwah benar ,"oh my god, just looking at it, it's already short of breath because the year was closed after covid, when the entertainment was opened again, the ramen boomed, because of the halloween celebration, visitors became real spirit",Positif,Positif
jumlah kasus positif covid-19 bertambah minggu 30/10/2022 pasien sembuh bertambah kasus meninggal bertambah kasus,the number of positive cases of covid-1' increased sunday '0/10/2022 patients recovered increased cases of death increased cas,Positif,Positif
mas vaksin covid tidak  mempengaruhi asi,"bro, the covid vaccine doesn't affect breast milk",Netral,Netral
rekomendasi vitamin saya  tidak tahu vitamin apa herbal sejak pakai  saya  sudah  tidak pernah radang lagi  even makan saya  lagi  ngasal sangat  siklus period saya  perlahan membaik tdnya hancur  sangat  sejak vaksin covid mahal tapi  invest buat kesehatan -gt ;,vitamin recommendations i don't know what vitamins are herbs since i used them i've never had inflammation again even when i eat i'm really upset my period cycle is slowly getting better but it's been really destroyed since the covid vaccine is expensive but invest for health -gt ',Positif,Negatif
itu  memang habitat ko sbelom covid,it was indeed my habitat before covid,Netral,Netral
china memang  sepertinya tidak  rela covid selesai,china really doesn't seem willing that covid will end,Positif,Positif
covid dua tahun apa pulak petani mana stok ayam banyak2 ayam anak kena makanwaktu covid mesti la diorang rendahkan stok ayam diorang anak bela banyak2 takda orang beli ketambah pulak kekurangan pekerja,"two years of covid, what's the matter with the farmers, where are the chicken stocks, the chickens, the children have to eat during the covid period, people have to lower the chicken stock, the children defend, there are many people, there are no people to buy, plus there is a lack of work",Negatif,Negatif
update oktober bertambah kasus aktif covid-19 kaltim balikpapan kasus,"the october update has added active cases of covid-1', east kalimantan, balikpapan cas",Negatif,Netral
jual beli babi diduga biang kerok kasus covid-19 wuhan naik detikhealth artikel populer google berita,"sale and purchase of pigs, suspected of being the culprit in the wuhan covid-1' case, has increased, detikhealth, a popular google news articl",Positif,Positif
saya merasa  semacam tahap awal pemusnahan manusia mulai covid perang bencana alam hingga tragedi macam semoga kita selalu lindungan tuhan,"i feel like it's a kind of early stage of human annihilation, starting with the covid-1' war, natural disasters to tragedies like god's protection for u",Positif,Positif
alhamdulillah deh  apa2 pernah positif covid tapi  deh  simptom lansung sehat  sepanjang kuaretin sepanjang positif itu ,"alhamdulillah, have you ever been positive for covid, but the symptoms are directly healthy as long as the quaretin is as long as it's posit",Positif,Positif
padahal kemarin  waktu  icu covid kesempatan belajar besar sangat ,even though yesterday during the icu covid there was a very large learning opportun,Positif,Positif
waktu zaman covid tidak  olahraga,"during the covid era, there was no sport",Netral,Netral
untung saya lebih takut kena covid gara2 kerumunan bersyukur tidak  suka keramaian soalnya takut dicopet sudah  pernah kehilangan hp soalnya terus tidak  suka suara berisik,luckily i'm more afraid of getting covid because of the grateful crowd i don't like crowds because i'm afraid of being picked up i've lost my cellphone because i don't like loud nois,Negatif,Negatif
awalny kukira begini  karena  rokok kupikir2 lah saya ngeroko napasq biasa saja  sepertinya  wkwkwk seperti  tidak  ngaruh apa2 tauu merokok  itu  asli sudah  padahal  tiap skotak habis saya langsung beli memang  covid anjing  wkwkwkwkwkwtau lah mlz bet,"at first i thought it was because of cigarettes i thought i smoked my breath normally, it seemed like it didn't affect anything, you know smoking is real, even though every box i ran out i immediately bought it.",Positif,Negatif
katanya pasca covidparu2 orang-orang  turun kualitasnya gampang capai  nafas  pendek biasa futsal minta  masih kuat sekarang  -20 sudah  capai  sangat ,"he said after the covid-pulmonary disease, the quality of people has decreased, it is easy to reach shortness of breath, normal futsal, asking to be still strong now -20 is very accomplish",Positif,Positif
setuju sekali  post covid memang  ganggu sangat  pernapasan,totally agree that post covid really disturbs breath,Positif,Netral
sumbat masuk satu mostly kena push kedepan cer tengok banyak muka tak rela kena tolak plus jalan kat itaewon ini  berbukit sikit korea baru dapat  sambut meriah halloween this year compared to covid last time itu  pack gila somehow it turned into tragedy,"one plug comes in, mostly you have to push forward, see many faces, don't want to be rejected, plus the road to itaewon is a little hilly, korea just got a festive welcome this halloween this year compared to last time covid, it's crazy, somehow it turned into tragedi",Positif,Positif
mr president ekyisajja eyo nkyimanyi nyo kye busega kibumbilo kyakuba nomukazi oworubuto mu covid oba mubijukira,mr president that man i know very well is busega kibumbilo beat a pregnant woman in covid or you rememb,Positif,Positif
update covid-19 minggu oktober positif sembuh meninggal,update covid-1' sunday october positive recovered di,Positif,Netral
total kasus covid-19 indonesia mencapai kasus,indonesia's total covid-1' cases reached cas,Netral,Netral
insiden berkaitan keramaian kanjuruhan itaewon saya  berpikir menjauhi keramaian bukan takut covid-19 takut kekurangan oksigen,incidents related to itaewon's recommended crowd i think staying away from crowds is not afraid of covid-1' afraid of lack of oxygen,Negatif,Negatif
sudah  tidak  covid utang sudah  numpuk ngapain,it's not covid anymore what are the debts piling up,Netral,Netral
tahun terakhir tidak  halloween grgr covid jadi  tahun antusiasme orang2 makin tinggi,last year no halloween grgr covid so the year people's enthusiasm is getting high,Positif,Positif
ancok saya mana  covid mbatin,i'm worried about covid,Netral,Netral
ingat igs jika  share lagu emosional pas jam  kena covid operasi usus buntu januari,remember igs if you share emotional songs at the time of having covid appendix surgery in januari,Netral,Netral
tema tersebut bertujuan seluruh jajaran kementerian keuangan dapat pandai selalu sigap mengidentifikasi berbagai tantangan depan mengawal pemulihan ekonomi pasca pandemi covid-19,"the theme is that all levels of the ministry of finance can be smart, always alert in identifying the various challenges ahead in overseeing economic recovery after the covid-1' pandem",Positif,Positif
covid gila bukan itu ,crazy covid that's not it,Negatif,Netral
jerk,jerk,Netral,Netral
kasus covid-19 tembus ribu yuk pakai masker luar ruangan - portalnesia,"thousands of covid-1' cases penetrate, let's wear outdoor masks - portalnesia",Netral,Netral
benerr sangat  grgr covid orang sudah  tidak  tahan mau keluar sekalinya keluar mebeludag,"it's really grgr covid, people can't stand going out once they leave furnitur",Positif,Negatif
senang jatuh sakit kene covid pergi  klinik anak ambik mc kene fikir anak buat sakit ape lepas kene covid pergi  kk/klinik memang  taksihat demam batuk selsema amik mase seminggu baru elok bp tinggi,"it's easy to get sick here, covid, go to the child's clinic, take mc here, think what makes the child sick, then go here, covid, go to the home/clinic, it's still sick, fever, cough, cold.",Negatif,Negatif
jumlah kasus positif covid-19 bertambah minggu 30/10/2022 pasien sembuh bertambah kasus meninggal bertambah kasus,the number of positive cases of covid-1' increased sunday '0/10/2022 patients recovered increased cases of death increased cas,Positif,Positif
jgnkan desek2an gini sekarang  mah timbang jerawatan gatel2 keselek dihubunginnya sama covid vaksin,"don't be desek like this now, i'm considering having pimples, itches, i'm afraid he's contacted with the covid vaccin",Negatif,Negatif
angka covid-19 indonesia meningkat beberapa hari terakhir subvarian 'xbb ',indonesia's covid-1' numbers have increased in recent days 'xbb' subvari,Netral,Netral
demandnya memang  turun nder covid sudah  mereda jadinya kpopers balik kpop biasa wfh menganggur belanja online sekarang  semua wfo tunggu season baru wkwk,"the demand has indeed decreased, the covid has subsided, so kpopers have returned to normal kpop, wfh are unemployed, shopping online now, all wfo, waiting for the new season, wkwk",Negatif,Negatif
weh think sudah  tak covid virgin cuma tak sedar impossible la tak kena,weh think it's not covid virgin anymore just don't realize it's impossible not to get it,Negatif,Negatif
update covid-19 indonesia oktober tambah kasus baru meninggal,indonesia's october covid-1' update added new cases of death,Positif,Netral
waspada kasus harian covid-19 naik diindonesia,be aware that daily cases of covid-1' are rising in indonesia,Positif,Positif
waspada kasus harian covid-19 naik diindonesia,be aware that daily cases of covid-1' are rising in indonesia,Positif,Positif
waspada kasus harian covid-19 naik diindonesia,be aware that daily cases of covid-1' are rising in indonesia,Positif,Positif
bayangin sudah  menemani  tahun lebih awal debut senior berjuang bareng-bareng rela mukanya dibenyekin tiap mau tanding tau-tau pas doi pulkam jepang pas covid dianya tidak  diajak malah yuzu beli pooh baru buat temennya yuzu pas kompetisi pooh barunya,"imagine having accompanied the senior debut year earlier, fighting together, willing to get his face smacked every time he wanted to compete, all of a sudden, when he was in japan, during covid, he wasn't invited, instead, yuzu bought new pooh for his friend, yuzu, during his new pooh competit",Positif,Positif
baik pemerintah berikan bsu rp jt kepada  pensiunan pns-tni-polri-bumn karena  semua pensiunan gaji/upahnya dibwh khl/ptkp rp jt/bln anjloknya daya beli karena  covid-19 plus karena  kenaikan harga bbm perlu sgr dipulihkan masukkan dalam  apbn- gaji tidak  naik,it's good that the government gives bsu rp.jt/month to retired civil servants-tni-polri-state-owned enterprises because all pensioners have salaries/wages below khl/ptkp rp.jt/month. go on,Positif,Positif
remember that covid era khttr sahb jb inhi sb dctrs ne nt even haryana ko bt puri india ko survive krwaya or aaj aap bond se inhi logo carrier ko brbad krne me lagi  hue ho esi gndi rajniti mt khelo khttr ji,remember that covid era khttr sahb jb inhi sb dctrs ne nt even haryana ko bt puri india ko survive krwaya or aaj aap bond se inhi logo carrier ko brbad krne me lagi hue ho esi gndi rajniti mt khelo khttr ji,Netral,Netral
sumpah capai  sekali  buat nakesnya rjp orang saja  benar  ngos an x2 rjp covid no mouth to mouth turut berduka cita,"i swear i'm so tired for the health workers, rjp people are really ngos an x2 rjp covid, no mouth to mouth, my condol",Negatif,Negatif
gara2 covid jadi  lincah sangat  masalah ngehalu,"because of covid, being agile is very problemat",Positif,Netral
harga murah sst kurangkan harga barang kononnya2022 benda sama harga meningkat salah bn hang lupa kaa kor ming sst masih kekal -19 xdak covid perang rusia-ukraine kadar opr usa naikdap mudah lupa saya ingat melayu mudah lupa,cheap prices sst reduce the price of goods supposedly in 2022 the same thing the price will increase wrong bn hang forget kaa ko ming sst still remain -1' no covid russia-ukraine war usa opr rates go up easy to forget i remember malay easy to forget,Positif,Negatif
pemerintah melaporkan tambahan kasus covid-19 hari sebanyak kasus dki jakarta menjadi provinsi melaporkan penambahan kasus terbanyak,the government reported an additional number of cases of covid-1' as many days as dki jakarta became the province that reported the most additional cas,Positif,Positif
sampurasun istimewa berikut kami informasikan update terbaru penanganan pencegahan covid-19 purwakarta minggu /10/2022,following special sampurasun we inform you of the latest updates on handling the prevention of covid-1' purwakarta sunday /10/2022,Positif,Netral
fotonya tidak pakai masker ditangkep satgas covid,the photo without a mask was caught by the covid task forc,Netral,Netral
festival pasar terapung lok baintan diadakan tanda kebangkitan pariwisata ekonomi kreatif pascapandemi covid-19 samping daya tarik wisata festival melestarikan budaya sungai //,the lok baintan floating market festival is being held as a sign of the rise of post-covid-1' creative economy tourism besides the tourist attraction of the festival of preserving river culture //,Positif,Positif
legislator kota malang minta layanan khusus positif covid-19,malang city legislators request special positive services for covid-1',Positif,Positif
covid for the second time cool tengah sibuk actually tuhan anak suruh rehat kot,"covid for the second time cool in the middle of being busy, actually god told me to take a break",Positif,Positif
guru murid tembaki disekolah,teacher pupils shoot at school,Netral,Netral
curiga vaksin covid-19 berhubungan gagal ginjal akut anak siti fadilah supari diteliti,suspected that the covid-1' vaccine was related to acute kidney failure in siti fadilah supari's child,Positif,Positif
vicks tapi  kalau  sakit covid flu paling penting istirahat total cukup diusahakan tidur  sebanyak,"vicks but if you get sick with the flu, the most important thing is to have a complete rest, try to get as much sleep as poss",Positif,Positif
covid terbaru,latest covid,Positif,Netral
sekarang berdoa sekali  perasaan mau flu benar  flu bukan kena covid gara2 dempet2an berdendang bergoyang sialan,"now i'm praying that i really want to have the flu, really have the flu, not get covid because of being close to each other, singing, swaying, damn it",Positif,Negatif
covid mati banyak tidak  covid mati banyak,covid dead a lot no covid dead a lot,Negatif,Netral
up mayh guj mayh itna covid deaths huyi hy phyr bhi aysa rslt dekhnayh miltayh hy kya hi bolayh,up mayh guj mayh itna covid deaths huyi hy phyr bhi aysa rslt dekhnayh miltayh hy kya hi bolayh,Netral,Netral
gara gara covid kan online semua sosial ku anjir lah tidak  jalannn,"because of covid, all my social networks are offline, they don't work",Positif,Negatif
kalau  belinya nanti-nanti harga mahal bet seperti  masker waktu covid kemarin jangan protes bakulan ngono kui aji mumpung bos cara bedain tv digital sama anolog gimana mboh punya tv anda  kalau  tvmu masih tabung tak jamin tvmu masih analog,"if you buy it later, the price is expensive, like the mask during covid yesterday, don't protest, go to ngono kui aji while boss, how to differentiate digital tv from analogue, how can you have your tv if your tv is still tube, you can't guarantee that your tv is still analog",Negatif,Negatif
tidak  untung covid tapi  covid manfaat tidak  harus sekolah offline pp lama,no luck with covid but the benefits of covid are you don't have to go to school offline pp for long,Negatif,Negatif
adik  saya  selesai usus buntu sekarang  demam tinggi semoga tidak  covid yaa tuhannn,"my sister finished appendicitis now has a high fever, hopefully not covid, oh my god",Positif,Positif
flashback pas sma pp jam lebih wakwkakw untung covid kelas  -lulus,"flashback when pp high school hours were over, fortunately covid class - pass",Positif,Positif
kena covid bulan bulan kesannya sekarang  masih batuk sudah  start makan obat  asthma cepat penat walaupun tak buat apa apa,"i've had covid for months, the effect is now i'm still coughing, i've started taking asthma medicine, i get tired quickly even if i don't do anyth",Negatif,Negatif
[ update ] covid-19 indonesia per oktober kasus positif hari bertambah orangselengkapnya via,[update] covid-1' indonesia as of october positive cases increase day by day complete via,Positif,Positif
siapa duduk area bandar sunway saya craving anak makan bakso kat pasar malam ini  kena covid tak boleh keluar tolong belikan boleh tak,"who lives in sunway city area, i'm craving for meatballs at the market tonight because of covid, i can't go out, please buy it, can i?",Netral,Positif
bye2 klang entah bila anak datang sini last pon datang  covid ermm,"bye2 klang, i don't know when the child came here last, covid came ermm",Netral,Netral
festival pasar terapung lok baintan diadakan tanda kebangkitan pariwisata ekonomi kreatif pascapandemi covid-19 samping daya tarik wisata festival melestarikan budaya sungai //,the lok baintan floating market festival is being held as a sign of the rise of post-covid-1' creative economy tourism besides the tourist attraction of the festival of preserving river culture //,Positif,Positif
berdasarkan data sebaran kasus covid-19 indonesia per oktober kasus covid-19 jakarta tertinggi penambahan jumlah kasus aktif sebanyak pasien yuk,"based on data on the distribution of indonesian covid-1' cases as of october, the jakarta covid-1' case is the highest, adding the number of active cases as many as patients, ok?",Positif,Positif
drone polisi melayang2 tiongkok membentangkan qr code dipindai rakyat hasilnya hijau hp pengguna dia diizinkan melintas bepergian kebijakan zero covid tolerance membatasi akses rakyat,"police drones hovering over china spread the qr code scanned by the people, the result is green, the user's cellphone is allowed to pass through and travel, the zero covid tolerance policy limits people's access",Negatif,Negatif
mnl debut kalau  gasalah covid memang  manajemennya saja  kureng,"debut, if there's no covid problem, the management is just cramp",Netral,Netral
festival pasar terapung lok baintan diadakan tanda kebangkitan pariwisata ekonomi kreatif pascapandemi covid-19 samping daya tarik wisata festival melestarikan budaya sungai //,the lok baintan floating market festival is being held as a sign of the rise of post-covid-1' creative economy tourism besides the tourist attraction of the festival of preserving river culture //,Positif,Positif
sekarang seleksi alamnya kerasa sekali  covid wabah pmk terus gagal ginjal balita ditambah tragedi baru baru,"now the natural selection feels like covid, the pmk epidemic continues to fail the kidneys of toddlers plus new tragedi",Negatif,Negatif
my toxic trait is duk beli segala workout equipment last last only use my body and wall sabajap anak buat kambek saya boleh pulak kena covid anjir,my toxic trait is that i buy all the workout equipment last last only use my body and wall as long as my child makes me poop i can get covid fig,Negatif,Positif
covid-19 hari dki jakarta tertinggi - okezone news,covid-1' day in jakarta the highest - okezone new,Positif,Netral
lebih mudah terserang batuk pilek setelah sembuh covid-19 apa harus dilakukan - -,it's easier to catch a cold cough after recovering from covid-1' what to do - -,Negatif,Netral
positif covid-19 balikpapan capai kasus senin besok forkompinda gelar evaluasi -,positive for covid-1' balikpapan reaches cases monday tomorrow for kompinda will hold an evaluation -,Positif,Positif
vaksin covid-19 berhubungan gagal ginjal akut anak siti fadilah supari diteliti - hops id -,covid-1' vaccine related to acute kidney failure in siti fadilah supari's child is being studied - hops id -,Positif,Positif
wakil bupati cirebon minta penanganan stunting bisa sama covid-19,deputy regent of cirebon asked that the handling of stunting be the same as covid-1',Netral,Netral
menu saya  sama jaja waktu covid terus  kita spinwheel,my menu is the same as during covid and we spinwheel,Netral,Netral
sach chutiya hoo bhae itna bara chew gum or sweetner likhaa ha black black nazar ata hae kia icc covid ae pehle bhi kabhi ball tampering saliva se hoti hae st time suna,sach chutiya hoo bhe itna bara chew gum or sweetner likhaa ha black black nazar ata hai kia icc covid ae pehle bhi kabhi ball tampering saliva se hoti hai st time suna,Negatif,Negatif
sama kaya ariel pas covid dia mah ganteng motong rambut ngasal saya  malah pitak2,"just like ariel, during covid, he's handsome, cut his hair, i'm just bald",Positif,Netral
kasus covid-19 alami kenaikan hingga total pasien konfirmasi corona indonesia mencapai orang jumlah pasien sembuh orang orang lainnya meninggal dunia,"covid-1' cases have increased so that the total number of confirmed indonesian corona patients has reached 10,000, while the number of recovered patients has di",Positif,Positif
setelah sembuh covid-19 kok anak mudah terserang batuk pilek apa harus dilakukan,"after recovering from covid-1', why do children catch colds easily, what should i do?",Positif,Netral
indonesia mencatat sebanyak kasus baru covid-19 minggu 30/10/2022 dki jakarta menyumbang kasus terbanyak jumlah,indonesia records as many new cases of covid-1' week '0/10/2022 dki jakarta contributes the most number of cas,Positif,Positif
indonesia mencatat sebanyak kasus baru covid-19 minggu 30/10/2022 dki jakarta menyumbang kasus terbanyak jumlah,indonesia records as many new cases of covid-1' week '0/10/2022 dki jakarta contributes the most number of cas,Positif,Positif
punya teman  cowok  suka cinta sekali  sama temennya sd tiap mau tidak tahu situasinya selalu tidak  dipihaknya dia effortnya teman  saya  luar biasa dengar  cewek  covid kemarin langsung panik maketin makanan obat-obatan dia kirim no name,"i have a guy friend who really loves his friend sd, every time he doesn't want to know the situation is always not on his side, his effort is extraordinary. my friend heard that the covid girl yesterday immediately panicked with food, medicine, he sent no nam",Positif,Negatif
soal permenfake news mbak hoax memang  mereka minum terus  nge drug kata temenku memang  semalam  full orang karena  tahun  tidak  perayaan covid sudah  ilang jadi  keluar begitu  anehnya memang  stuck satu titik saja  mbak,"regarding the fake news candy, it's a hoax, they drink and keep on drugs, my friend said last night it was full of people because the year the covid celebration was gone, so it came out so strangely, it was just stuck at one point, si",Negatif,Positif
ini  tak kena covid kawe sudah  ade semua,"this doesn't have to do with covid, you already have everyth",Netral,Netral
kayaknya malas bergerak in general deh festival after covid masih gagap apa bagaimana  sudah  lama,"i think i'm too lazy to move, in general, the after covid festival is still stuttering, how long has it been?",Negatif,Negatif
gu covid eek pa nia,gu covid eek pa nia,Netral,Netral
omongan taek kejadian selalu hubungkan covid vaksin,talk about incidents is always related to covid vaccin,Netral,Netral
khairy vaksin covid-19 berbentuk semburan perlu disedut sedang diuji malaysia- ganti suntikan,khairy the covid-1' vaccine in the form of a spray needs to be inhaled and is being tested in malaysia - instead of an inject,Netral,Netral
kasus ginjal akut anak memang sedang berlangsung banyak permasahan sedang dihadapi indonesia lapor covid telah menggelar diskusi publik online tema gagal ginjal akut anak bagaimana pencegahan penanganannya,"cases of acute kidney problems in children are indeed ongoing, many problems are being faced by indonesia, report covid. an online public discussion has been held on the theme of acute kidney failure in children, how to prevent it",Positif,Positif
capaian vaksinasi covid-19 kota yogyakarta sendiri sangat tinggi,yogyakarta city's own covid-1' vaccination achievements are very high,Positif,Positif
saya ngalamin rambut rontok tahun lalu sejak sembuh covid faktor stress mengerjakan  tugas akhir untung sudah  beresterus solusinya gimana solusinya pilih  produk perawatan rambut aman melindungi paparan sinar matahari langsung,i experienced hair loss last year since recovering from covid.,Positif,Positif
long covid teori pembodohan,long covid theory of dup,Negatif,Netral
kebanyakan cedera dilaporkan keadaan serius diberi rawatan kecemasan kata pegawai laporan reuters ia merupakan acara halloween pertama seoul tempoh tiga tahun selepas negara menarik balik sekatan covid penjarakan sosial +,"most of the injured were reported to be in serious condition and given emergency treatment, officials said in a reuters report. it was seoul's first halloween event in three years after the country lifted social distancing restrictions.",Positif,Positif
perlu investigasi cctv club/toko gang gang itaewon memang  setelah kasus covid landai orang keluar rumah sudah  mirip  macan lapar  dikeluarin kandang,need to investigate cctv club/shop alley gang itaewon indeed after the covid case people left the house like a hungry tiger out of the cag,Netral,Netral
my oga at phc gombe ahead of lab scientist at covid office allah yajikansa da rahma,my boss at phc gombe ahead of lab scientist at covid office may god bless him with merci,Netral,Netral
covid ka ilaj karaunga,covid will be tr,Netral,Netral
covid kedua kostnya luas sekali  banyak penghuni waktu skripsian kemarin pindah kost an pertama banyakan sama-sama semester tua,"the second covid boarding house was very spacious, many of the occupants during my thesis yesterday moved to the first boarding house, most of them were both in the old semest",Positif,Positif
pengusaha hiburan manfaatin momen sudah  haus hiburan setelah taun pandemi tidak  boleh berkerumun cuan belum lagi  kena efek long covid apa tidak  lemas  disitu,"entertainment entrepreneurs take advantage of the moment when they are thirsty for entertainment after a year of the pandemic, don't be allowed to crowd around, haven't you been hit by the effects of the long covid?",Negatif,Negatif
asli deh pengaruh pasca covid kerasa sekali  jalan nanjak tidak  kuat sekarang dulu lari nanjak masih kuat-kuat saja  sekarang kek capai  sekali  jalan nanjak saja ,"original, the effect of post-covid feels that one way uphill is not strong now before running uphill it's still strong, now it's as if it's just one way uphil",Positif,Positif
efek covid tidak  kan hampir tahun kaga festival pas sudah  dibuka membludak begitu ,the effect of covid isn't almost a year or not the festival when it's opened it's overflowing like that,Netral,Negatif
update covid-19 oktober kasus covid-19 bertambah meninggal,update covid-1' october cases of covid-1' increase in death,Netral,Netral
